a,0.96
abandon,0.93
abandoned,0.91
abandonment,0.90
abate,0.85
abatement,0.76
abbey,0.82
abbot,0.71
abbreviate,0.88
abbreviated,0.89
abbreviation,0.88
abdicate,0.87
abdomen,0.81
abdominal,0.76
abduct,0.89
abductee,0.63
abduction,0.80
aberrant,0.89
aberration,0.84
abet,0.88
abhor,0.90
abide,0.91
abiding,0.89
ability,0.94
abiotic,0.66
abject,0.86
able,0.96
able-bodied,0.83
abnormal,0.85
abnormality,0.81
abnormally,0.79
aboard,0.85
aboard,0.85
abode,0.78
abolish,0.91
abolition,0.86
abolitionist,0.82
aboriginal,0.78
abort,0.88
abortion,0.81
abortive,0.85
abound,0.93
about,0.91
about,0.96
above,0.93
above,0.93
above,0.95
above-average,0.86
above-ground,0.63
above-mentioned,0.88
abrasion,0.82
abrasive,0.80
abreast,0.91
abroad,0.90
abrogate,0.82
abrogation,0.66
abrupt,0.85
abruptly,0.91
abs,0.74
abscess,0.66
absence,0.95
absent,0.91
absent,0.95
absentee,0.81
absenteeism,0.78
absolute,0.94
absolutely,0.94
absolutism,0.86
absolutist,0.83
absolve,0.90
absorb,0.92
absorbed,0.84
absorber,0.77
absorbing,0.85
absorption,0.84
abstain,0.89
abstention,0.82
abstinence,0.74
abstinent,0.45
abstract,0.89
abstract,0.93
abstract,0.94
abstraction,0.87
absurd,0.91
absurdity,0.89
abundance,0.81
abundant,0.86
abundantly,0.91
abuse,0.87
abuse,0.91
abused,0.83
abuser,0.83
abusive,0.87
abut,0.88
abyss,0.88
academe,0.84
academia,0.92
academic,0.87
academic,0.92
academically,0.80
academician,0.82
academy,0.93
accede,0.86
accelerate,0.90
accelerated,0.90
accelerating,0.87
acceleration,0.84
accelerator,0.72
accelerometer,0.69
accent,0.91
accentuate,0.92
accept,0.95
acceptability,0.79
acceptable,0.95
acceptance,0.93
accepted,0.94
access,0.92
access,0.94
accessibility,0.87
accessible,0.93
accession,0.85
accessory,0.75
accessory,0.84
accident,0.94
accidental,0.91
accidentally,0.89
acclaim,0.89
acclaim,0.91
acclaimed,0.89
accolade,0.91
accommodate,0.94
accommodation,0.89
accompaniment,0.78
accompany,0.95
accompanying,0.88
accomplice,0.88
accomplish,0.96
accomplished,0.90
accomplishment,0.95
accord,0.86
accord,0.92
accordance,0.93
according,0.96
accordingly,0.95
account,0.94
account,0.95
accountability,0.88
accountable,0.93
accountant,0.87
accounting,0.83
accredit,0.89
accreditation,0.83
accredited,0.87
accrediting,0.78
accrete,0.69
accretion,0.77
accrue,0.95
acculturate,0.82
acculturation,0.79
acculturative,0.46
accumulate,0.91
accumulated,0.92
accumulation,0.92
accuracy,0.90
accurate,0.92
accurately,0.93
accusation,0.91
accuse,0.91
accused,0.78
accustom,0.95
accustomed,0.94
ace,0.79
ace,0.84
acetylcholine,0.66
ache,0.82
ache,0.86
achievable,0.91
achieve,0.96
achievement,0.87
achiever,0.75
acid,0.83
acidic,0.80
acidification,0.71
acidity,0.79
acknowledge,0.95
acknowledged,0.92
acknowledgement,0.91
acknowledgment,0.92
acne,0.65
acorn,0.63
acoustic,0.78
acoustic,0.82
acquaint,0.93
acquaintance,0.89
acquiesce,0.87
acquiescence,0.88
acquire,0.96
acquired,0.84
acquisition,0.95
acquit,0.83
acreage,0.79
acrimonious,0.86
acronym,0.90
across,0.85
across,0.93
acrylic,0.76
act,0.92
act,0.95
acting,0.88
acting,0.89
action,0.94
activate,0.90
activated,0.75
activation,0.88
active,0.94
actively,0.95
activism,0.89
activist,0.89
activity,0.93
actor,0.91
actress,0.90
actual,0.94
actuality,0.89
actualize,0.86
actually,0.95
actuator,0.69
acuity,0.79
acumen,0.91
acupuncture,0.71
acute,0.85
acutely,0.94
ad,0.91
adage,0.91
adamant,0.91
adamantly,0.88
adapt,0.93
adaptability,0.86
adaptable,0.90
adaptation,0.91
adapted,0.73
adapter,0.71
adaptive,0.87
add,0.93
add-on,0.81
add-on,0.81
added,0.93
adder,0.58
addict,0.85
addict,0.89
addiction,0.86
addictive,0.87
addition,0.92
addition,0.95
additional,0.93
additionally,0.92
additive,0.79
additive,0.85
address,0.91
address,0.95
addressee,0.71
adduce,0.86
adenocarcinoma,0.57
adenoma,0.62
adept,0.94
adequacy,0.90
adequate,0.95
adequately,0.95
adhere,0.94
adherence,0.85
adherent,0.91
adhesion,0.76
adhesive,0.72
adhesive,0.74
adjacent,0.87
adjacent,0.90
adjective,0.87
adjoining,0.90
adjudicate,0.88
adjudication,0.81
adjudicator,0.52
adjunct,0.89
adjust,0.92
adjustable,0.81
adjusted,0.88
adjustment,0.92
adjuvant,0.65
administer,0.92
administration,0.92
administrative,0.91
administrator,0.88
admirable,0.92
admirably,0.90
admiral,0.84
admiration,0.91
admire,0.93
admirer,0.89
admiring,0.90
admission,0.92
admit,0.96
admittedly,0.93
admitting,0.90
admonish,0.91
admonition,0.79
adobe,0.81
adolescence,0.84
adolescent,0.80
adolescent,0.80
adopt,0.94
adopted,0.87
adopter,0.78
adoption,0.86
adoptive,0.71
adoration,0.80
adore,0.88
adorn,0.89
adornment,0.82
adrenal,0.75
adrenaline,0.86
adrift,0.90
adult,0.90
adult,0.92
adultery,0.84
adulthood,0.90
advance,0.93
advance,0.94
advanced,0.90
advancement,0.93
advancing,0.93
advantage,0.94
advantageous,0.92
advent,0.93
adventist,0.15
adventist,0.25
adventure,0.92
adventurer,0.87
adventurous,0.89
adverb,0.76
adversarial,0.88
adversary,0.81
adverse,0.90
adversely,0.91
adversity,0.89
advertise,0.94
advertisement,0.91
advertiser,0.88
advertising,0.91
advice,0.96
advisable,0.92
advise,0.97
adviser,0.89
advisor,0.94
advisory,0.88
advocacy,0.92
advocate,0.94
advocate,0.94
aegis,0.89
aeration,0.71
aerial,0.82
aerobic,0.83
aerobics,0.80
aerodynamic,0.73
aerodynamics,0.72
aeronautics,0.75
aerosol,0.77
aerospace,0.80
aesthetic,0.80
aesthetically,0.86
aesthetics,0.81
afar,0.88
affair,0.91
affect,0.82
affect,0.94
affected,0.87
affection,0.88
affectionate,0.78
affective,0.87
affidavit,0.82
affiliate,0.90
affiliate,0.93
affiliated,0.91
affiliation,0.92
affiliative,0.55
affinity,0.92
affirm,0.89
affirmation,0.88
affirmative,0.85
affirmative,0.89
affirmatively,0.86
affix,0.87
afflict,0.93
afflicted,0.85
affliction,0.90
affluence,0.85
affluent,0.89
afford,0.96
affordability,0.86
affordable,0.88
affront,0.89
afghan,0.77
aficionado,0.83
afield,0.89
afloat,0.89
aforementioned,0.93
afraid,0.93
african,0.865107063
african,0.909087588
african-american,0.838392115
african-american,0.877016305
afrikaner,0.62
afrikaner,0.65
afro-american,0.53
aft,0.83
aft,0.84
after,0.92
after,0.95
after,0.96
after-school,0.67
after-tax,0.76
aftercare,0.67
afterglow,0.70
afterlife,0.79
aftermath,0.90
afternoon,0.95
afterthought,0.90
afterward,0.93
afterwards,0.94
again,0.96
against,0.93
agar,0.69
age,0.89
age,0.93
age-appropriate,0.87
age-old,0.92
age-related,0.84
age-specific,0.72
aged,0.87
agency,0.93
agenda,0.92
agent,0.95
aggravate,0.90
aggregate,0.88
aggregate,0.88
aggregate,0.89
aggregated,0.81
aggregation,0.84
aggression,0.85
aggressive,0.93
aggressively,0.94
aggressiveness,0.85
aggressor,0.85
aggrieved,0.82
agile,0.84
agility,0.88
aging,0.87
aging,0.91
agitate,0.90
agitated,0.89
agitation,0.91
agitator,0.45
agnostic,0.77
ago,0.92
agonizing,0.89
agony,0.89
agrarian,0.83
agree,0.96
agreeable,0.90
agreed,0.85
agreed-upon,0.90
agreement,0.90
agribusiness,0.86
agricultural,0.87
agriculturalist,0.77
agriculture,0.89
ah,0.91
aha,0.82
ahead,0.93
ahead,0.95
ahistorical,0.85
aid,0.91
aid,0.95
aide,0.87
ail,0.88
ailing,0.90
ailment,0.91
aim,0.95
aim,0.95
air,0.88
air,0.90
airbag,0.71
airborne,0.84
aircraft,0.83
airfield,0.80
airflow,0.74
airfoil,0.63
airline,0.87
airliner,0.78
airplane,0.83
airport,0.90
airship,0.63
airspace,0.80
airtight,0.82
airwaves,0.89
airway,0.73
airy,0.80
aisle,0.90
akin,0.93
alarm,0.89
alarm,0.90
alarmed,0.89
alarming,0.94
alarmingly,0.91
alas,0.92
alaskan,0.81931967
albanian,0.77
albanian,0.771377168
albeit,0.94
album,0.86
alchemy,0.86
alcohol,0.86
alcohol-related,0.69
alcoholic,0.80
alcoholic,0.83
alcoholism,0.87
alder,0.73
ale,0.82
alert,0.86
alert,0.92
alert,0.94
alertness,0.82
alfalfa,0.69
algae,0.72
algal,0.67
algebra,0.73
algebraic,0.63
algerian,0.70
algerian,0.743898347
algorithm,0.73
alien,0.88
alien,0.89
alienate,0.92
alienated,0.88
alienating,0.89
alienation,0.90
align,0.92
alignment,0.88
alike,0.93
alike,0.95
alive,0.94
alkaline,0.79
alkaloid,0.59
all,0.96
all,0.96
all-american,0.84
all-day,0.80
all-encompassing,0.88
all-important,0.92
all-inclusive,0.88
all-new,0.72
all-out,0.87
all-powerful,0.85
all-purpose,0.84
all-sky,0.66
all-time,0.91
allay,0.90
allegation,0.87
allege,0.86
alleged,0.90
allegedly,0.91
allegiance,0.91
allegorical,0.76
allegory,0.73
allele,0.65
allergen,0.68
allergic,0.74
allergy,0.74
alleviate,0.94
alleviation,0.77
alley,0.86
alliance,0.88
allied,0.86
alligator,0.78
allocate,0.93
allocated,0.80
allocation,0.90
allot,0.93
allotment,0.78
allotted,0.86
allow,0.95
allowable,0.86
allowance,0.85
alloy,0.75
allude,0.87
allure,0.92
alluring,0.90
allusion,0.80
alluvial,0.81
ally,0.85
ally,0.89
almanac,0.73
almighty,0.85
almond,0.82
almost,0.95
alms,0.81
aloe,0.73
aloft,0.82
alone,0.96
alone,0.96
along,0.93
along,0.94
alongside,0.90
alongside,0.94
aloof,0.90
aloud,0.89
alpha,0.87
alphabet,0.89
alphabetic,0.81
alphabetical,0.87
alpine,0.83
already,0.95
also,0.96
altar,0.78
altarpiece,0.58
alter,0.93
